,,,,, Esperado ,,,"49,234",,,,,,359,,,,,,,,
,TEC21,1,,, Identificado ,"48,825",,"48,005","49,637",52,"1,382","1,663","1,618","49,184",,,,,,,,
,TERM,202511,,,,,,,,,,,,0.70%,,,Programa,Campus,sem avance,,,
,ProyecciÛn MT,ProyecciÛn MT,ProyecciÛn MT,ProyecciÛn MT,ProyecciÛn MT,ProyecciÛn MT,HistÛrico,HistÛrico,HistÛrico,C·lculo,C·lculo,C·lculo,C·lculo,C·lculo,,,NEG,Monterrey,4,ad23,8,
CAMPUS_INSCRIPCION,CAMPUS_INSCRIPCION,ENTRADA_TERM,PROGRAMATERM, SEMESTRE_AVANCE_GENERACION ,GENERACION, Sum of TOTAL_AGRUPACION , TERM 202313 por sem avance , TERM 202411 por sem avance , TERM 202413 , Programa en InglÈs sin BGB , Var AA , VAR ACTUAL , Ajuste , MT Ajustada ,,,NEG,Monterrey,5,fj24,3,-63%
Monterrey,Monterrey, NEG ,CPF,8,202113,120,117,116,127,0,-1%,-5%,-1%,126,-6,,,,,,,
Monterrey,Monterrey, NEG ,CPF,9,202111,6,4,4,8,0,0%,-26%,-26%,6, -   ,,,,,,,
Monterrey,Monterrey, NEG ,CPF,10,202013,14,31,17,24,0,-45%,-41%,-41%,14, -   ,,,,,,,
Monterrey,Monterrey, NEG ,CPF,11,202011,1,3,1,1,0,-67%,45%,45%,1, -   ,,,,,,,
Monterrey,Monterrey, NEG ,CPF,12,201813,3,7,0,0,0,-100%,,,3, -   ,,,,,,,
Monterrey,Monterrey, NEG ,CPF,12,201913,4,7,5,6,0,-29%,-33%,-33%,4, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LIT,3,202411,1, -   ,0,0,0,,,,1, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LIT,4,202313,65,10,76,9,0,660%,621%,621%,65, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LIT,5,202311,2,1,1,3,0,0%,-23%,-23%,2, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LIT,6,202213,63,84,80,78,0,-5%,-19%,-5%,74,-11,,,,,,,
Monterrey,Monterrey, NEG ,LIT,7,202211,2,4,4,1,0,0%,82%,0%,1,1,,,,,,,
Monterrey,Monterrey, NEG ,LIT,8,202113,66,70,68,89,0,-3%,-25%,-3%,86,-20,,,,,,,
Monterrey,Monterrey, NEG ,LIT,9,202111,3,3,2,3,0,-33%,-2%,-2%,3, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LIT,10,202013,13,17,10,18,0,-41%,-27%,-27%,13, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LIT,11,202011,1, -   ,0,1,0,,-30%,-30%,1, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LIT,12,201813,2,3,0,0,0,-100%,,,2, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LIT,12,201913,4,3,3,5,0,0%,-10%,-10%,4, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LDE,3,202411,1, -   ,0,0,0,,,,1, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LDE,4,202313,30,2,21,2,0,950%,1375%,1375%,30, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LDE,5,202311,2,1,0,0,0,-100%,,,2, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LDE,6,202213,39,23,24,21,0,4%,86%,4%,22,17,,,,,,,
Monterrey,Monterrey, NEG ,LDE,7,202211,1, -   ,1,0,0,,,,1, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LDE,8,202113,27,36,37,24,0,3%,11%,3%,25,2,,,,,,,
Monterrey,Monterrey, NEG ,LDE,9,202111,3,2,2,1,0,0%,194%,194%,3, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LDE,10,202013,12,21,16,16,0,-24%,-24%,-24%,12, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LDE,11,202011,1,2,1,1,0,-50%,-30%,-30%,1, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LDE,12,201413,1,2,0,0,0,-100%,,,1, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LDE,12,201913,3,2,2,3,0,0%,-9%,-9%,3, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LDO,3,202411,1, -   ,1,0,0,,,,1, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LDO,4,202313,29,4,19,1,0,375%,2800%,2800%,29, -   ,,,,,,,
Monterrey,Monterrey, NEG ,LDO,5,202311,2, -   ,0,1,0,,102%,102%,2, -   ,,,,,,,
