PROGRAMA_ENTRADA_PIN,CAMPUS_PIN,TEC21_PIN,TOTAL_INICIAL,SEMESTRE_AVANCE_GENERACION,CAMPUS_INDICADOR,CAMPUS_INSCRIPCION,PROGRAMATERM,TRANSFERENCIA,TRANSFERENCIA_TEMPORAL,ES_CLINICA,TOTAL_AGRUPACION,GENERACION,TERM,PERFIL
IBQ,Guadalajara,1,0.09090909090909091,1,Guadalajara,Guadalajara,IBQ,false,false,false,0.09090909090909091,202911,202911,NO TEC D
ICI,Querétaro,1,0.0,1,Querétaro,Querétaro,ICI,false,false,false,0.0,202911,202911,NO TEC A
NEG,Ciudad Obregón,1,0.0,1,Ciudad Obregón,Ciudad Obregón,NEG,false,false,false,0.0,202911,202911,TEC C
IIT,Ciudad Obregón,1,0.0,1,Ciudad Obregón,Ciudad Obregón,IIT,false,false,false,0.0,202911,202911,NO TEC C
IIT,Cuernavaca,1,0.0,1,Cuernavaca,Cuernavaca,IIT,false,false,false,0.0,202911,202911,NO TEC C
ICI,León,1,0.0,1,León,León,ICI,false,false,false,0.0,202911,202911,TEC D
IIT,San Luis Potosí,1,0.0,1,San Luis Potosí,San Luis Potosí,IIT,false,false,false,0.0,202911,202911,NA
CIS,Guadalajara,1,0.2727272727272727,1,Guadalajara,Guadalajara,CIS,false,false,false,0.2727272727272727,202911,202911,TEC A+
IBQ,Tampico,1,0.0,1,Tampico,Tampico,IBQ,false,false,false,0.0,202911,202911,TEC A+
IBQ,Toluca,1,0.0,1,Toluca,Toluca,IBQ,false,false,false,0.0,202911,202911,TEC A+
IIT,Laguna,1,0.0,1,Laguna,Laguna,IIT,false,false,false,0.0,202911,202911,TEC A
IBQ,Estado de México,1,0.09090909090909091,1,Estado de México,Estado de México,IBQ,false,false,false,0.09090909090909091,202911,202911,NO TEC A
ICT,Laguna,1,0.0,1,Laguna,Laguna,ICT,false,false,false,0.0,202911,202911,NO TEC A
CIS,León,1,0.0,1,León,León,CIS,false,false,false,0.0,202911,202911,NO TEC A
IBQ,San Luis Potosí,1,0.0,1,San Luis Potosí,San Luis Potosí,IBQ,false,false,false,0.0,202911,202911,NO TEC A
IIT,Sinaloa,1,0.0,1,Sinaloa,Sinaloa,IIT,false,false,false,0.0,202911,202911,TEC C
ICT,Chihuahua,1,0.0,1,Chihuahua,Chihuahua,ICT,false,false,false,0.0,202911,202911,NO TEC C
IBQ,Ciudad Juárez,1,0.0,1,Ciudad Juárez,Ciudad Juárez,IBQ,false,false,false,0.0,202911,202911,NO TEC C
CIS,Sonora Norte,1,0.0,1,Sonora Norte,Sonora Norte,CIS,false,false,false,0.0,202911,202911,TEC D
CIS,Aguascalientes,1,0.0,1,Aguascalientes,Aguascalientes,CIS,false,false,false,0.0,202911,202911,NO TEC D
