TASAXPIN_CALCULO_ORIGINAL,TASA_PROPORCIONAL_CALCULO_ORIGINAL,TASAXPIN_ELIMINAR_OFERTA,TASA_PROPORCIONAL_ELIMINAR_OFERTA,PROGRAMA_ENTRADA_PIN,CAMPUS_PIN,GENERACION,SEMESTRE_AVANCE_GENERACION
0.15259999781847,0.5450000014901162,0.15259999781847,0.5450000014901162,AMC,Estado de México,202811,12
0.015399999916553497,0.10091743208851836,0.015399999916553497,0.10091743208851836,AMC,Estado de México,202811,13
1.0,1.0,1.0,1.0,AMC,Estado de México,202813,1
1.0,1.0,1.0,1.0,AMC,Estado de México,202813,2
0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,AMC,Estado de México,202813,3
0.9672131147540985,0.9833333333333335,0.9672131147540985,0.9833333333333335,AMC,Estado de México,202813,4
0.9672131147540985,0.9999999999999998,0.9672131147540985,0.9999999999999998,AMC,Estado de México,202813,5
0.9836065573770494,1.0169491525423726,0.9836065573770494,1.0169491525423726,AMC,Estado de México,202813,6
0.9672131147540985,0.9833333333333333,0.9672131147540985,0.9833333333333333,AMC,Estado de México,202813,7
0.9836065573770492,1.0169491525423728,0.9836065573770492,1.0169491525423728,AMC,Estado de México,202813,8
0.16393442622950818,0.16666666666666666,0.16393442622950818,0.16666666666666666,AMC,Estado de México,202813,9
0.13278688759100243,0.8100000143051147,0.13278688759100243,0.8100000143051147,AMC,Estado de México,202813,10
0.03737704919987038,0.28148147665751166,0.03737704919987038,0.28148147665751166,AMC,Estado de México,202813,11
0.01639344262295082,0.438596490998751,0.01639344262295082,0.438596490998751,AMC,Estado de México,202813,12
1.0,1.0,1.0,1.0,AMC,Estado de México,202911,1
1.0,1.0,1.0,1.0,AMC,Estado de México,202911,2
1.0,1.0,1.0,1.0,AMC,Estado de México,202911,3
1.0,1.0,1.0,1.0,AMC,Estado de México,202911,4
1.0,1.0,1.0,1.0,AMC,Estado de México,202911,5
1.0,1.0,1.0,1.0,AMC,Estado de México,202911,6
0.8,0.8,0.8,0.8,AMC,Estado de México,202911,7
0.8,1.0,0.8,1.0,AMC,Estado de México,202911,8
